Name,Address,PlaceType
Retrograde,"530 E 19th Ave, Denver, CO 80203",Cocktail bar
54thirty Rooftop,"1475 California St, Denver, CO 80202",Bar
Death & Co Denver,"1280 25th St, Denver, CO 80205",Cocktail bar
